title,overview,original_language,vote_count,vote_average
The Debt,"Rachel Singer is a former Mossad agent who tried to capture a notorious Nazi war criminal – the Surgeon of Birkenau – in a secret Israeli mission that ended with his death on the streets of East Berlin. Now, 30 years later, a man claiming to be the doctor has surfaced, and Rachel must return to Eastern Europe to uncover the truth. Overwhelmed by haunting memories of her younger self and her two fellow agents, the still-celebrated heroine must relive the trauma of those events and confront the debt she has incurred.",en,468,6.6
Romper Stomper,"Nazi skinheads in Melbourne take out their anger on local Vietnamese, who are seen as threatening racial purity. Finally the Vietnamese have had enough and confront the skinheads in an all-out confrontation, sending the skinheads running. A woman who is prone to epileptic seizures joins the skins' merry band, and helps them on their run from justice, but is her affliction also a sign of impurity?",en,262,6.6
Nappily Ever After,"After an accident at the hair salon, Violet realizes she's not living life to the fullest. A soulful barber helps her put the pieces back together.",en,627,7.3
The Exorcism of Molly Hartley,"Taking place years after The Haunting of Molly Hartley, who now, as an adult, has fallen under the possession of an evil spirit and must be exorcised by a fallen priest before the devil completely takes her.",en,147,5.1
Battle Royale,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",ja,2000,7.3
Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",en,25148,8.3
Dave Chappelle: Sticks & Stones,"Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in this defiant stand-up special.",en,113,7.9
S.W.A.T.,"Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",en,1435,6.0
Hooking Up,"Bailey and Darla embark upon a misguided and mutually deceitful form of therapy, one in which they must drive across the country re-enacting Darla's colorful history as a sex addict. As their true motivations for the road trip come to light, the unlikely pair force one another to confront their issues, discovering that there might actually be more to love than just sex.",en,6,8.3
Behind Enemy Lines III: Colombia,Navy SEALS mount an attack on Colombian special forces to clear their names and rescue a hostage.,en,69,4.9
Happy Feet Two,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",en,889,6.0
The Lazarus Effect,"Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her.",en,926,5.2
The Dark Crystal,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal and restore order to his world, before the grotesque race of Skeksis find and use the crystal for evil.",en,606,7.2
Down to Earth,"After dying before his time, an aspiring comic gets a second shot at life... by being reincarnated as a wealthy but un-likable businessman.",en,200,5.2
The Way Back,"A former basketball all-star, who has lost his wife and family foundation in a struggle with addiction attempts to regain his soul and salvation by becoming the coach of a disparate ethnically mixed high school basketball team at his alma mater.",en,92,6.6
The White Helmets,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.",ar,125,7.5
Train to Busan Presents: Peninsula,Peninsula takes place four years after Train to Busan as the characters fight to escape the land that is in ruins due to an unprecedented disaster.,ko,0,0.0
Grave Encounters,A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,en,837,6.2
Kickboxer: Retaliation,"One year after the events of ""Kickboxer: Vengeance"", Kurt Sloan has vowed never to return to Thailand. However, while gearing up for a MMA title shot, he finds himself sedated and forced back into Thailand, this time in prison. He is there because the ones responsible want him to face a 6'8"" 400 lbs. beast named Mongkut and in return for the fight, Kurt will get two million dollars and his freedom back. Kurt at first refuses, in which a bounty is placed on his head as a way to force him to face Mongkut. Kurt soon learns he will have no other choice and will undergo his most rigorous training yet under some unexpected mentors in order to face Mongkut in hopes to regain his freedom.",en,114,5.0
Hunger,"The story of Bobby Sands, the IRA member who led the 1981 hunger strike in which Republican prisoners tried to win political status. It dramatises events in the Maze prison in the six weeks prior to Sands’ death.",en,643,7.3
The Phantom Carriage,"It's New Year's Eve. Three drunkards evoke a legend. The legend tells that the last person to die in a year, if he is a great sinner, will have to drive during the whole year the Phantom Chariot, that picks up the souls of the dead.",sv,139,8.0
Stargate: The Ark of Truth,"SG-1 searches for an ancient weapon which could help them defeat the Ori, and discover it may be in the Ori's own home galaxy. As the Ori prepare to send ships through to the Milky Way to attack Earth, SG-1 travels to the Ori galaxy aboard the Odyssey. The International Oversight committee have their own plans and SG-1 finds themselves in a distant galaxy fighting two powerful enemies.",en,239,7.1
Tusk,"When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him.",en,707,5.3
How High,"Multi-platinum rap superstars Redman and Method Man star as Jamal and Silas, two regular guys who smoke something magical, ace their college entrance exams and wind up at Harvard. Ivy League ways are strange but Silas and Jamal take it in a stride -- until their supply of supernatural smoke runs dry. That's when they have to start living by their wits and rely on their natural resources to make the grade.",en,496,6.2
American Kamasutra,A young woman finds herself involved in a dangerous love triangle when she gets involved with the writer of a popular steamy novel.,en,20,5.3
13 Assassins,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,ja,592,7.3
Mia,"Mia recounts her most intimate confessions, uncensored, in her first approach to a totally new world of domination and submission.",es,1,8.0
Octopussy,James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Fabergé egg. Bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,en,1027,6.3
Bravetown,"After an accidental drug overdose, a talented teenage DJ goes to live with his estranged father in a small Army town, where he gets to the bottom of his own pain and learns empathy for others.",en,219,6.8
Thunderbolt,"In order to release his kidnapped sister, sports car mechanic Jackie Chan has to beat a super-criminal street racer.",cn,139,6.2
Crazy/Beautiful,"At Pacific Palisades High, a poor Latino falls hard for a troubled girl from the affluent neighborhood.",en,194,6.5
Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",en,469,6.1
Daddy's Home 2,Brad and Dusty must deal with their intrusive fathers during the holidays.,en,1507,6.1
Fracture,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other.",en,2150,7.3
My Life as a Zucchini,"After his mother’s death, Zucchini is befriended by a kind police officer, Raymond, who accompanies him to his new foster home filled with other orphans his age. There, with the help of his newfound friends, Zucchini eventually learns to trust and love as he searches for a new family of his own.",fr,726,7.8
Psycho II,"After years of treatment at a mental institution for the criminally insane, serial killer Norman Bates is finally released. Deciding to move back into his long-dead mother's infamous old house, he soon finds himself tormented by 'her' demands and begins to question his own sanity.",en,321,6.3
Human Nature,"A philosophical burlesque, Human Nature follows the ups and downs of an obsessive scientist, a female naturalist, and the man they discover, born and raised in the wild. As scientist Nathan trains the wild man, Puff, in the ways of the world - starting with table manners - Nathan's lover Lila fights to preserve the man's simian past, which represents a freedom enviable to most.",en,135,6.2
Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",en,5597,8.0
Under Suspicion,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer.",en,241,6.2
The English Teacher,"Teacher Linda Sinclair balances her staid home life with an incredible passion for her subject, but her routine is forever altered when a former star pupil and his unsupportive father reenter her life.",en,236,5.7
My Mom is a Character 3: The Film,Dona Herminia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.,pt,218,8.5
Breaking In,"Shaun Russell takes her son and daughter on a weekend getaway to her late father's secluded, high-tech vacation home in the countryside. The family soon gets an unwelcome surprise when four men break into the house to find hidden money. After managing to escape, Shaun must now figure out a way to turn the tables on the desperate thieves and save her captive children.",en,378,5.9
No Man's Land,"Two soldiers from opposite sites get stuck between the front lines in the same trench. The UN is asked to free them and both sides agree on a ceasefire, but will they stick to it?",bs,227,7.7
Dragonslayer,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time.,en,138,6.5
The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",en,21561,8.4
The Car,"The film is set in the fictional Utah community of Santa Ynez, which is being terrorized by a mysterious black coupe that appears out of nowhere and begins running people down. After the car kills off the town's Sheriff (John Marley), it becomes the job of Captain Wade Parent (James Brolin) to stop the murderous driver.",en,111,6.0
Truth or Dare,"Eight college friends head to a ""Haunted Rental"" in a remote town for Halloween weekend. There, they play the game rumored to have caused the deaths of seven teenagers decades earlier, Truth or Dare. What starts out as vodka induced fun, quickly turns serious when the dares become sickeningly dangerous and the truths threaten to tear the group apart. When players attempt to refuse the increasingly challenging tasks, they're met with deadly consequences, quickly discovering: you must do the dare, or the dare does you. As the death toll mounts, the remaining players must race against the clock to outrun, outsmart and outlast the simple game of Truth or Dare.",en,62,5.4
One Piece: Giant Mecha Soldier of Karakuri Castle,"The Straw Hats visits an island, known as Mecha Island, where a fisherman sings an old folk song about a Golden Crown. Searching for that mysterious treasure, they find a hidden entrance into the island. The island's leader, Ratchet, impressed with the find and in search of the Golden Crown himself, invites the crew to join him in his search and the crew along with Ratchet and his henchmen enter the cave. As it turns out, the islands true form, is that of a giant turtle. Ratchet, who had known this all along, uses his mechanical castle to take control of the turtle, in order to use it, to take over the world. Now the Straw Hats have to stop not only Ratchet, but also the helpless turtle, from crashing into a nearby island.",ja,60,7.0
Cadet Kelly,Hyperactive teenager Kelly is enrolled into a military school when her new stepfather becomes the Commandant. At first she has problems fitting in and taking orders until she tries out for the drill team.,en,328,5.6
Shaolin Soccer,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,cn,1045,6.7
Willow,"Fearful of a prophecy stating that a girl child will be born to bring about her downfall, the evil Queen Bavmorda imprisons all pregnant women within the formidable stronghold of Nockmaar. A child, Elora Danan, is born in the Nockmaar dungeons and identified as the prophesied child by a birthmark on her arm. However, before the black sorceress arrives to claim the child, Elora's mother convinces her reluctant midwife to escape with the baby. Willow, a timid farmer and aspiring sorcerer, is entrusted with delivering the royal infant from evil.",en,982,7.0
Air Force One,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",en,1627,6.4
The Tournament,"Every ten or seven years in an unsuspecting town, The Tournament takes place. A battle royale between 30 of the world's deadliest assassins. The last man standing receiving the $10,000,000 cash prize and the title of Worlds No 1, which itself carries the legendary million dollar a bullet price tag.",en,334,5.8
Alex Strangelove,"Alex Truelove is on a quest to lose his virginity, an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex, a super gregarious dude, is oddly unmotivated. A magical house party throws Alex into the presence of Elliot, a hunky college guy, who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.",en,1126,6.6
Babysitting 2,"Franck and his girlfriend Sonya, plus some of their friends go on holiday in Brazil. Franck, his friends, two girls and Sonya's grandmother leave to visit a cave, but everything goes wrong and their crazy adventures begin.",fr,919,6.4
Delirium,"A man recently released from a mental institute inherits a mansion after his parents die. After a series of disturbing events, he comes to believe it is haunted.",en,125,5.4
Barbie of Swan Lake,"Barbie as Odette, the young daughter of a baker, follows a unicorn into the Enchanted Forest and is transformed into a swan by an evil wizard intent on defeating the Fairy Queen.",en,683,6.8
Dogman,"Marcello, a small and gentle dog groomer, finds himself involved in a dangerous relationship of subjugation with Simone, a former violent boxer who terrorizes the entire neighborhood. In an effort to reaffirm his dignity, Marcello will submit to an unexpected act of vengeance.",it,1281,7.6
The Raven,A magician who has been turned into a raven turns to a former sorcerer for help in this film loosely based on the Edgar Allen Poe poem.,en,108,6.4
Splendor in the Grass,A fragile Kansas girl's unrequited and forbidden love for a handsome young man from the town's most powerful family drives her to heartbreak and madness.,en,119,7.6
A Night of Horror: Nightmare Radio,Rod leads a radio show dedicated to horror. Until suddenly the announcer begins to receive strange calls from a child who desperately asks for help. At first thinks that it is a bad joke until he discovers that this is not the case. These calls hide a dark secret…,en,6,5.8
Face/Off,"An antiterrorism agent goes under the knife to acquire the likeness of a terrorist and gather details about a bombing plot. When the terrorist escapes custody, he undergoes surgery to look like the agent so he can get close to the agent's family.",en,3060,6.9
Dance of the Dead,"With Prom only hours away, the usual suspects of Cosa High (Cheerleaders, geeks, bad boys and the happy-go-lucky student council alike) are preoccupied with the annual rituals of teendom. On the night of the big dance when the dead unexpectedly rise to eat the living, polar opposite groups will be forced to unite in their final chance to save the town from the zombies.",en,106,6.0
I'll Always Know What You Did Last Summer,"Several teenagers in a small-town in Colorado concoct a July 4th prank based on a frightening legend that goes awry when their friend ends up accidentally killed; however, the teens agree to keep their involvement a secret from the authorities, who continue to search for the man who apparently killed their friend. A year later, with the July 4th celebration coming up again, the teenagers realize that they're being stalked by someone who clearly intends on keeping the horrible legend alive by killing them off.",en,181,4.2
Ender's Game,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",en,3951,6.6
La Lutte des classes,"As everyone knows, children make no difference between social classes, skin colors or religions. But then why does Corentin, Paul and Sofia's nine-year-old son, only have friends like him at Bagnolet's school? And when his friends all leave for a private school in Paris, his parents are frightened. From now on, Corentin is the only one in his class. But the only what?",fr,152,5.9
The Thomas Crown Affair,"Young businessman, Thomas Crown is bored and decides to plan a robbery and assigns a professional agent with the right information to the job. However, Crown is soon betrayed yet cannot blow his cover because he’s in love.",en,230,7.0
Anacondas: Trail of Blood,"A genetically created Anaconda, cut in half, regenerates itself into two aggressive giant snakes, due to the Blood Orchid.",en,133,4.2
I Want to Eat Your Pancreas,"Spring time in April and the last of the cherry blossoms are still in bloom. The usually aloof bookworm with no interest in others comes across a book in a hospital waiting room. Handwritten on the cover are the words: ""Living with Dying."" He soon discovers that it is a diary kept by his very popular and genuinely cheerful classmate, Sakura Yamauchi, who reveals to him that she is secretly suffering from a pancreatic illness and only has a limited time left. It is at this moment that she gains just one more person to share her secret. Trying to maintain a normal life as much as possible, Sakura is determined to live her life to the fullest until the very last day. As her free spirit and unpredictable actions throw him for a loop, his heart begins to gradually change.",ja,157,8.1
Being Flynn,"During his twenties, a young man works at various homeless shelters in Boston, where he often intersects with his brilliant but troubled father.",en,149,6.2
Halloween,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger",en,1240,6.1
The Wind Rises,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",ja,1494,7.8
The Endless,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,en,450,6.3
Ivanhoe,Sir Walter Scott's classic story of the chivalrous Ivanhoe who joins with Robin of Locksley in the fight against Prince John and for the return of King Richard the Lionheart.,en,86,6.9
Zombeavers,College friends find their weekend of sex and debauchery ruined when deadly zombie beavers swarm their riverside cabin.,en,378,4.7
Best Man Down,"A newlywed couple cancels their honeymoon and returns to the snowy Midwest to make the funeral arrangements for their best man, who died unexpectedly after their ceremony.",en,91,6.3
"Tad, the Lost Explorer","Tad is a celebrity archaeologist and adventurer just like his hero Max Mordon... in his dreams! In reality, Tad is a Chicago construction worker. One day, however, he is mistaken for a real professor and takes his place on a flight to Peru in search of the lost city of Paititi.",es,300,5.8
Troy,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",en,6350,7.0
Nurse Betty,"What happens when a person decides that life is merely a state of mind? If you're Betty, a small-town waitress and soap opera fan from Fair Oaks, Kansas, you refuse to believe that you can't be with the love of your life just because he doesn't really exist. After all, life is no excuse for not living. Traumatized by a savage event, Betty enters into a fugue state that allows -- even encourages -- her to keep functioning... in a kind of alternate reality.",en,220,6.0
The Voices,"A mentally unhinged factory worker must decide whether to listen to his talking cat and become a killer, or follow his dog's advice to keep striving for normalcy.",en,1069,6.2
The Commitments,"Jimmy Rabbitte, just a tick out of school, gets a brilliant idea: to put a soul band together in Barrytown, his slum home in north Dublin. First he needs musicians and singers: things slowly start to click when he finds three fine-voiced females virtually in his back yard, a lead singer (Deco) at a wedding, and, responding to his ad, an aging trumpet player, Joey ""The Lips"" Fagan.",en,264,7.3
A Late Quartet,"When the beloved cellist of a world-renowned string quartet is diagnosed with a life threatening illness, the group’s future suddenly hangs in the balance as suppressed emotions, competing egos and uncontrollable passions threaten to derail years of friendship and collaboration. As they are about to play their 25th anniversary concert — quite possibly their last — only their intimate bond and the power of music can preserve their legacy.",en,126,6.8
Everybody Knows,"Laura, a Spanish woman living in Buenos Aires, returns to her hometown outside Madrid with her Argentinian husband and children. However, the trip is upset by unexpected events that bring secrets into the open.",es,558,6.5
Voice from the Stone,Verena is a nurse who arrives at an old mansion in Italy to help a young boy who has fallen silent since the sudden passing of his mother.,en,279,5.5
The Player,A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,en,375,7.2
[REC],A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,es,2349,7.1
Big Kill,"A tenderfoot from Philadelphia, two misfit gamblers on the run, and a deadly preacher have a date with destiny in a boom town gone bust called Big Kill.",en,8,6.4
Brick Mansions,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",en,1016,5.9
Dangerous Beauty,"Veronica is brilliant, gifted and beautiful, but the handsome aristocrat she loves, Marco Venier, cannot marry her because she is penniless and of questionable family. So Veronica's mother, Paola, teaches her to become a courtesan, one of the exotic companions favored by the richest and most powerful Venetian men. Veronica courageously uses her charms to change destiny -- and to give herself a chance at true love.",en,114,7.1
The Horse Whisperer,"Based on the novel by the same name from Nicholas Evans, the talented Robert Redford presents this meditative family drama set in the country side. Redford not only directs but also stars in the roll of a cowboy with a magical talent for healing.",en,696,6.9
All the King's Men,All The King's Men is the story of the rise of politician Willie Stark from a rural county seat to the governor's mansion.,en,102,7.1
Onibaba,"While her son, Kichi, is away at war, a woman and her daughter-in-law survive by killing samurai who stray into their swamp, then selling whatever valuables they find. Both are devastated when they learn that Kichi has died, but his wife soon begins an affair with a neighbor who survived the war, Hachi. The mother disapproves and, when she can't steal Hachi for herself, tries to scare her daughter-in-law with a mysterious mask from a dead samurai.",ja,146,7.8
The Ages of Lulu,"Fifteen-year-old Lulu has never known any affection from her family. But when she goes to a rock concert with Pablo, a friend of the family, he introduces Lulu to her first sexual experience. Years later, Pablo and Lulu have married; Pablo has created a sheltered, private world for Lulu, into which nothing intrudes. However, Lulu tires of her cloistered existence, and begins hanging out in shady bars, looking for vicarious thrills and danger.",es,66,5.8
Mucize 2: Aşk,,tr,1,8.0
Naked Lunch,"Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing.",en,496,7.0
Seed of Chucky,"Chucky and Tiffany are resurrected by their innocent son, Glen, and hit Hollywood, where a movie depicting the killer dolls' murder spree is underway.",en,737,5.1
Gone Baby Gone,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve the case, they are faced with a moral dilemma that tears them apart.",en,2230,7.3
Tisay,"In the world of semi-pro basketball, a beautiful bookie recruits a naïve but promising player to the underworld of game-fixing.",tl,1,9.0
Sex Drive,A high school senior drives cross-country with his best friends to hook up with a babe he met online.,en,695,6.2
Babel,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",en,2221,7.1
Domestic Disturbance,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.,en,215,5.6
Lucky,"Follows the journey of a 90-year-old atheist and the quirky characters that inhabit his off-the-map desert town. He finds himself at the precipice of life, thrust into a journey of self-exploration.",en,272,7.4
Killer Klowns from Outer Space,Aliens who look like clowns come from outer space and terrorize a small town.,en,367,5.9
Battle of Britain,"In 1940, the Royal Air Force fights a desperate battle against the might of the Luftwaffe for control of the skies over Britain, thus preventing the Nazi invasion of Britain.",en,149,6.9
War,"Khalid, is entrusted with the task of eliminating Kabir, a former soldier turned rogue, as he engages in an epic battle with his mentor who had taught him everything.",hi,64,7.0
Big Fat Liar,"Fourteen-year-old Jason Shepherd has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf steals his class paper and turns it into a smash movie, no one believes Jason's latest tall tale! On a cross-country adventure to set the record straight, Jason and best friend Kaylee devise a high-tech plan to squeeze the truth out of Wolf.",en,468,5.7
The Perfect Guy,"After a painful breakup, Leah seems to meet the perfect guy. But she soon discovers his violent side that disrupts her life.",en,228,5.7
Cat's Eye,"Three short stories by shock-meister Stephen King are linked by a stray cat that roams from one tale to the next in this creepy triptych that begins as Dick (James Woods) tries to quit smoking by any means necessary. Next, we meet Johnny, an adulterous man who's forced by his lover's husband onto a building's hazardous ledge. Finally, Amanda is threatened by an evil gnome who throws suspicion on the family cat.",en,253,6.1
Billy Elliot,"Set against the background of the 1984 Miners' Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.",en,2368,7.6
Deadfall,"A thriller that follows two siblings who decide to fend for themselves in the wake of a botched casino heist, and their unlikely reunion during another family's Thanksgiving celebration.",en,395,5.9
Greyhound,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",en,0,0.0
To Live and Die in L.A.,A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.,en,285,7.1
Bowling for Columbine,"This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old. Bowling for Columbine is a journey through the US, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",en,914,7.6
The East,An operative for an elite private intelligence firm finds her priorities irrevocably changed after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,en,494,6.6
Miller's Crossing,"Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.",en,869,7.6
The Circle,"A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.",en,3123,5.5
Death Race 2,"In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",en,656,5.6
Village of the Damned,"In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other.",en,180,7.2
Gol Gappe,"Gol Gappe is an upcoming Punjabi movie scheduled to be released on 10 Apr, 2020. The movie is directed by Smeep Kang and will feature Binnu Dhillon, Rajat Bedi, Ihana Dhillon and Navneet Kaur Dhillon as lead characters. Other popular actor who was roped in for Gol Gappe is B.N. Sharma.",pa,0,0.0
Maximum Overdrive,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.",en,334,5.5
The Sandlot,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",en,522,7.3
One Love Manchester,"Live coverage of the concert set up by Ariana Grande at Old Trafford cricket ground to benefit those affected by the May 2017 Manchester bomb attack.  Performers include Ariana Grande, Justin Bieber, Coldplay, Katy Perry, Take That, Pharrell Williams, Niall Horan, Miley Cyrus, Usher, Robbie Williams, Little Mix and The Black Eyed Peas.",en,77,8.6
Edge of Darkness,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.",en,921,6.3
The Last Full Measure,"The incredible true story of Vietnam War hero William H. Pitsenbarger, a U.S. Air Force Pararescuemen medic who personally saved over sixty men. Thirty-two years later, Pentagon staffer Scott Huffman investigates a Congressional Medal of Honor request for Pitsenbarger and uncovers a high-level conspiracy behind the decades-long denial of the medal, prompting Huffman to put his own career on the line to seek justice for the fallen airman.",en,33,7.7
The Exception,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",en,232,6.9
The Jacket,"A military veteran goes on a journey into the future, where he can foresee his death and is left with questions that could save his life and those he loves.",en,869,6.9
Cage Dive,"Three friends from California are filming an audition tape for an extreme reality game show. They document their journey to Australia where they will be doing their most dangerous activity.... Shark Cage Diving. A catastrophic turn of events leaves them in baited water full of Great White Sharks, turning their recording into a blood chilling diary of survival... and death.",en,172,4.5
"Planes, Trains and Automobiles","A man must struggle to travel home for Thanksgiving, with an obnoxious slob of a shower ring salesman his only companion.",en,1057,7.2
The Hills Have Eyes,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.",en,401,6.1
The Railway Children,"Set at the turn of the 20th century, The Railway Children tells the story of three Edwardian children and their mother who move to a country house in Yorkshire after their father is mysteriously taken away by the police.",en,12,7.2
